주거지역,생활 인프라,대중교통,방범 상태,위생 환경,녹지 공간,문화 시설,교육 환경,이웃 관계
서울,4.07,4.18,4.00,3.84,3.86,3.69,3.78,3.54
부산,4.10,4.09,4.10,4.11,3.95,3.80,3.81,3.67
대구,3.98,4.04,3.99,3.94,4.09,3.67,3.74,3.60
인천,3.97,3.88,4.06,3.92,3.94,3.70,3.75,3.64
광주,3.84,3.78,3.83,3.72,3.79,3.53,3.66,3.59
대전,3.89,3.87,3.90,3.67,3.95,3.77,3.78,3.69
울산,3.55,3.43,3.79,3.76,3.83,3.32,3.53,3.58
세종,3.58,3.54,3.73,3.77,3.76,3.42,3.53,3.41
경기,3.87,3.73,4.01,3.93,4.03,3.63,3.67,3.57
강원,3.69,3.42,3.85,3.88,3.98,3.41,3.60,3.57
충북,3.80,3.66,3.93,3.86,3.69,3.52,3.64,3.38
충남,3.65,3.43,3.81,3.80,3.74,3.42,3.52,3.58
전북,3.99,3.77,3.98,3.87,3.95,3.67,3.82,3.64
전남,3.63,3.64,3.79,3.68,3.85,3.34,3.59,3.57
경북,3.45,3.25,3.64,3.60,3.65,3.19,3.31,3.46
경남,3.79,3.73,3.91,3.91,3.88,3.46,3.60,3.55
제주,4.00,3.95,3.92,3.96,3.89,3.46,3.84,3.62
